160620 12:40:54.927 | INFO  | (FiwareUpdateRequestSender.java:SendData:11:Thread-1) | Sending data to Fiware
160620 12:40:54.927 | INFO  | (FiwareUpdateRequestSender.java:SendData:12:Thread-1) | SSRData [iDTags=Waste Water level, typesOfData=TOURIST_DATA, SourceID=WasteWaterSensor_38, SourceType=WasteWaterSensor, geolocation=SSRGeoLocation [latitude=64.83433, longitude=20.88972, address=null], updateDateTime=Thu Jan 28 06:15:26 CET 2016, dataQueryDateTime=Mon Jun 20 12:38:43 CEST 2016, description=Name:UTVE1 CUST_NAME:Aqua Ductus, records=[Record [name=temp, value=180, unit=, description=], Record [name=level, value=46, unit=, description=], Record [name=battery, value=14.699999809265, unit=, description=]]]
160620 12:40:54.927 | ERROR | (FiwareDataSenderServer.java:run:32:Thread-1) | Data cannot be Send to fiware. Adding to queue
160620 12:40:54.927 | INFO  | (FiwareUpdateRequestSender.java:SendData:11:Thread-1) | Sending data to Fiware
160620 12:40:54.927 | INFO  | (FiwareUpdateRequestSender.java:SendData:12:Thread-1) | SSRData [iDTags=Waste Water level, typesOfData=TOURIST_DATA, SourceID=WasteWaterSensor_38, SourceType=WasteWaterSensor, geolocation=SSRGeoLocation [latitude=64.83433, longitude=20.88972, address=null], updateDateTime=Thu Jan 28 06:15:26 CET 2016, dataQueryDateTime=Mon Jun 20 12:38:43 CEST 2016, description=Name:UTVE1 CUST_NAME:Aqua Ductus, records=[Record [name=temp, value=180, unit=, description=], Record [name=level, value=46, unit=, description=], Record [name=battery, value=14.699999809265, unit=, description=]]]
160620 12:40:54.927 | ERROR | (FiwareDataSenderServer.java:run:32:Thread-1) | Data cannot be Send to fiware. Adding to queue
160620 12:40:54.927 | INFO  | (FiwareUpdateRequestSender.java:SendData:11:Thread-1) | Sending data to Fiware
160620 12:40:54.927 | INFO  | (FiwareUpdateRequestSender.java:SendData:12:Thread-1) | SSRData [iDTags=Waste Water level, typesOfData=TOURIST_DATA, SourceID=WasteWaterSensor_38, SourceType=WasteWaterSensor, geolocation=SSRGeoLocation [latitude=64.83433, longitude=20.88972, address=null], updateDateTime=Thu Jan 28 06:15:26 CET 2016, dataQueryDateTime=Mon Jun 20 12:38:43 CEST 2016, description=Name:UTVE1 CUST_NAME:Aqua Ductus, records=[Record [name=temp, value=180, unit=, description=], Record [name=level, value=46, unit=, description=], Record [name=battery, value=14.699999809265, unit=, description=]]]
160620 12:40:54.927 | ERROR | (FiwareDataSenderServer.java:run:32:Thread-1) | Data cannot be Send to fiware. Adding to queue
160620 12:40:54.927 | INFO  | (FiwareUpdateRequestSender.java:SendData:11:Thread-1) | Sending data to Fiware
160620 12:40:54.927 | INFO  | (FiwareUpdateRequestSender.java:SendData:12:Thread-1) | SSRData [iDTags=Waste Water level, typesOfData=TOURIST_DATA, SourceID=WasteWaterSensor_38, SourceType=WasteWaterSensor, geolocation=SSRGeoLocation [latitude=64.83433, longitude=20.88972, address=null], updateDateTime=Thu Jan 28 06:15:26 CET 2016, dataQueryDateTime=Mon Jun 20 12:38:43 CEST 2016, description=Name:UTVE1 CUST_NAME:Aqua Ductus, records=[Record [name=temp, value=180, unit=, description=], Record [name=level, value=46, unit=, description=], Record [name=battery, value=14.699999809265, unit=, description=]]]
